Cohort	Tissue	WT_NR	WT_R	MUT_NR	MUT_R	TotalCt	MutCt	CriteriaA	CriteriaB	CriteriaAB	Result						
Yang_Adenoid	Adenoid	2	0	0	0	2	0	FAIL	FAIL	FAIL	drop						
Miao-NG_Anal	Anal	0	1	0	0	1	0	FAIL	FAIL	FAIL	drop						
Yang_Anal	Anal	2	0	0	0	2	0	FAIL	FAIL	FAIL	drop						
Yang_BasalSkin	BasalSkin	0	0	0	1	1	1	FAIL	FAIL	FAIL	drop						
Cristescu_Bladder	Bladder	14	3	0	0	17	0	FAIL	FAIL	FAIL	merge: Cristescu_Bladder;Mariathasan_Bladder;Miao-NG_Bladder;Snyder-2017_Bladder						
Mariathasan_Bladder	Bladder	188	61	0	2	251	2	FAIL	FAIL	FAIL	merge: Cristescu_Bladder;Mariathasan_Bladder;Miao-NG_Bladder;Snyder-2017_Bladder						
Miao-NG_Bladder	Bladder	14	12	0	1	27	1	FAIL	FAIL	FAIL	merge: Cristescu_Bladder;Mariathasan_Bladder;Miao-NG_Bladder;Snyder-2017_Bladder						
Snyder-2017_Bladder	Bladder	13	7	1	0	21	1	FAIL	FAIL	FAIL	merge: Cristescu_Bladder;Mariathasan_Bladder;Miao-NG_Bladder;Snyder-2017_Bladder						
Cristescu_Breast	Breast	13	1	0	0	14	0	FAIL	FAIL	FAIL	merge: Cristescu_Breast;Pleasance_Breast;Yang_Breast						
Pleasance_Breast	Breast	9	1	2	0	12	2	FAIL	FAIL	FAIL	merge: Cristescu_Breast;Pleasance_Breast;Yang_Breast						
Yang_Breast	Breast	11	0	1	0	12	1	FAIL	FAIL	FAIL	merge: Cristescu_Breast;Pleasance_Breast;Yang_Breast						
Yang_Cervical	Cervical	1	0	0	0	1	0	FAIL	FAIL	FAIL	drop						
Pleasance_CHOL	CHOL	1	0	0	0	1	0	FAIL	FAIL	FAIL	drop						
Cristescu_CRC	CRC	5	0	0	0	5	0	FAIL	FAIL	FAIL	merge: Le_CRC;Cristescu_CRC;Pleasance_CRC;Yang_CRC						
Le_CRC	CRC	10	2	2	1	15	3	PASS	PASS	PASS	merge: Le_CRC;Cristescu_CRC;Pleasance_CRC;Yang_CRC						
Pleasance_CRC	CRC	3	1	0	1	5	1	FAIL	FAIL	FAIL	merge: Le_CRC;Cristescu_CRC;Pleasance_CRC;Yang_CRC						
Yang_CRC	CRC	1	1	0	0	2	0	FAIL	FAIL	FAIL	merge: Le_CRC;Cristescu_CRC;Pleasance_CRC;Yang_CRC						
Chow_Endometrial	Endometrial	5	6	5	8	24	13	PASS	PASS	PASS	merge: Chow_Endometrial;Pleasance_Endometrial;Yang_Endometrial						
