"Cohort"	"Tissue"	"Alteration_Estimate"	"Alteration_StdErr"	"Alteration_95CI.low"	"Alteration_95CI.hi"	"Alteration_Pval"	"TMB_Estimate"	"TMB_StdErr"	"TMB_95CI.low"	"TMB_95CI.hi"	"TMB_Pval"	"Alteration_Variance"
"Composite_Bladder"	"Bladder"	1.52188202140978	1.04067286525977	"-0.51"	"3.924"	"0.136924855450935"	NA	NA	NA	NA	NA	1.08300001248798
"Composite_Breast"	"Breast"	0.649344557901553	1.64789715278194	"-4.352"	"3.441"	"0.710046746832637"	NA	NA	NA	NA	NA	2.71556502614682
"Composite_CRC"	"CRC"	1.46633706878629	1.03610011895573	"-0.623"	"3.602"	"0.161582512600398"	NA	NA	NA	NA	NA	1.07350345650008
"Composite_Endometrial"	"Endometrial"	0.880699786771453	0.745623356712118	"-0.562"	"2.396"	"0.232505881395626"	NA	NA	NA	NA	NA	0.555954190074646
"Composite_Lung"	"Lung"	1.19311763945457	0.80596721832156	"-0.346"	"2.965"	"0.128169444593178"	NA	NA	NA	NA	NA	0.649583157008993
"Frigola_Lung"	"Lung"	1.02958982453561	0.906656480479244	"-0.764"	"2.962"	"0.255377493196939"	"0.8840906841371"	"0.64652553130409"	"-0.36"	"2.208"	"0.16507842201631"	0.82202597359501
"Hellmann_Lung"	"Lung"	-0.037943590786893	0.912610055162034	"-1.978"	"1.779"	"0.967179658650855"	"1.54660842749239"	"0.5831818875317"	"0.447"	"2.771"	"0.00525868388938744"	0.832857112782851
"Jung_Lung"	"Lung"	0.610909082322972	1.22300422987451	"-2"	"3.226"	"0.619218957065645"	"1.04201394205087"	"0.653591176771497"	"-0.2"	"2.408"	"0.101056926573614"	1.49573934629094
"Rizvi-JCO_Lung"	"Lung"	-0.983616254790677	0.926455020795869	"-3.272"	"0.627"	"0.2495707352637"	"0.83318368735537"	"0.297715596622968"	"0.256"	"1.427"	"0.00453435970043936"	0.858318905557874
"Shim_Lung"	"Lung"	0.0152837240156114	0.689882824608406	"-1.466"	"1.33"	"0.982371996988616"	"0.615402069570954"	"0.312470602408015"	"0.008"	"1.237"	"0.0471880282236221"	0.475938311689673
"Composite_Melanoma"	"Melanoma"	0.382134251345197	0.769799241352443	"-1.192"	"1.956"	"0.620550615170521"	NA	NA	NA	NA	NA	0.592590871986797
"Cristescu_Melanoma"	"Melanoma"	-0.510825623765991	1.07688900193131	"-2.962"	"1.588"	"0.630492608592883"	"0.546543706368049"	"0.434415729102463"	"-0.3"	"1.41"	"0.206247263737224"	1.15968992248061
"Gao_Melanoma"	"Melanoma"	0.151230969723921	1.15903337357938	"-2.417"	"2.384"	"0.896628813432483"	NA	NA	NA	NA	NA	1.3433583610708
"Hugo_Melanoma"	"Melanoma"	0.276643235525155	0.789352081651198	"-1.262"	"1.915"	"0.724948372074694"	"0.136121848204108"	"0.649547798233806"	"-1.15"	"1.424"	"0.834140787809685"	0.62307670880708
"Liu_Melanoma"	"Melanoma"	0.74136956816053	0.702408982252504	"-0.602"	"2.239"	"0.281999199713809"	"0.747154161158378"	"0.354575997775425"	"0.057"	"1.452"	"0.0336840719628897"	0.493378378348999
"Sade-Feldman_Melanoma"	"Melanoma"	0.777309837064392	1.21947789063735	"-1.592"	"3.565"	"0.52510485792092"	"1.8612344544023"	"1.12200697124535"	"-0.189"	"4.475"	"0.076606914245277"	1.48712632575332
"Snyder-2014_Melanoma"	"Melanoma"	-0.944786709190402	1.08457715487023	"-3.452"	"1.068"	"0.371629840217118"	"2.04274979295224"	"1.01928161406349"	"0.207"	"4.467"	"0.0279732931893915"	1.1763076048664
"Van Allen_Melanoma"	"Melanoma"	1.48978662044705	0.754849298830312	"-0.081"	"2.974"	"0.0619836763384259"	"0.517893669657383"	"0.563011717614371"	"-0.571"	"1.676"	"0.353453884277307"	0.569797463944614
"Composite_RCC"	"RCC"	-1.38063154032441	1.4735588674735	"-6.256"	"0.774"	"0.254840186207414"	NA	NA	NA	NA	NA	2.17137573590978
