"Cohort"	"Tissue"	"Alteration_Estimate"	"Alteration_StdErr"	"Alteration_95CI.low"	"Alteration_95CI.hi"	"Alteration_Pval"	"TMB_Estimate"	"TMB_StdErr"	"TMB_95CI.low"	"TMB_95CI.hi"	"TMB_Pval"	"Alteration_Variance"
"Composite_Bladder"	"Bladder"	1.85835425803099	0.984232847550714	"0.037"	"4.203"	"0.0455888375982021"	NA	NA	NA	NA	NA	0.968714298197787
"Composite_Breast"	"Breast"	0.649344557901553	1.64789715278194	"-4.352"	"3.441"	"0.710046746832637"	NA	NA	NA	NA	NA	2.71556502614682
"Composite_CRC"	"CRC"	1.46633706878629	1.03610011895573	"-0.623"	"3.602"	"0.161582512600398"	NA	NA	NA	NA	NA	1.07350345650008
"Composite_Endometrial"	"Endometrial"	1.00586292972546	0.73502919217044	"-0.409"	"2.505"	"0.164746034305938"	NA	NA	NA	NA	NA	0.54026791334273
"Anagnostou-NC_Lung"	"Lung"	2.09457042327686	1.52481367156534	"-0.245"	"7.007"	"0.0852153187863841"	"0.676000134806675"	"0.451347173020635"	"-0.202"	"1.575"	"0.131579090084568"	2.32505673299257
"Composite_Lung"	"Lung"	1.33744605572541	0.865632676221208	"-0.367"	"3.189"	"0.120935913461582"	NA	NA	NA	NA	NA	0.749319930141891
"Frigola_Lung"	"Lung"	1.02958982453561	0.906656480479244	"-0.764"	"2.962"	"0.255377493196939"	"0.8840906841371"	"0.64652553130409"	"-0.36"	"2.208"	"0.16507842201631"	0.82202597359501
"Hellmann_Lung"	"Lung"	0.221007728675612	0.850183783159737	"-1.509"	"1.957"	"0.797067074695925"	"1.66421214374278"	"0.584525635720615"	"0.564"	"2.891"	"0.00261598520407946"	0.722812465147803
"Jung_Lung"	"Lung"	0.041242958534049	1.11019632628736	"-2.455"	"2.206"	"0.970403758005929"	"1.14252713847437"	"0.65491050090703"	"-0.101"	"2.512"	"0.0721651264896936"	1.23253588290195
"Rizvi-JCO_Lung"	"Lung"	-1.15272653596231	0.915303976259958	"-3.428"	"0.421"	"0.163127458963532"	"0.85941722918706"	"0.298043586822747"	"0.281"	"1.454"	"0.00343467157559785"	0.83778136895729
"Shim_Lung"	"Lung"	0.0152837240156114	0.689882824608406	"-1.466"	"1.33"	"0.982371996988616"	"0.615402069570954"	"0.312470602408015"	"0.008"	"1.237"	"0.0471880282236221"	0.475938311689673
"Composite_Melanoma"	"Melanoma"	0.587786664902119	0.807933520388442	"-0.956"	"2.363"	"0.458120755063598"	NA	NA	NA	NA	NA	0.652756573367261
"Cristescu_Melanoma"	"Melanoma"	-0.510825623765991	1.07688900193131	"-2.962"	"1.588"	"0.630492608592883"	"0.546543706368049"	"0.434415729102463"	"-0.3"	"1.41"	"0.206247263737224"	1.15968992248061
"Gao_Melanoma"	"Melanoma"	0.151230969723921	1.15903337357938	"-2.417"	"2.384"	"0.896628813432483"	NA	NA	NA	NA	NA	1.3433583610708
"Hugo_Melanoma"	"Melanoma"	0.276643235525155	0.789352081651198	"-1.262"	"1.915"	"0.724948372074694"	"0.136121848204108"	"0.649547798233806"	"-1.15"	"1.424"	"0.834140787809685"	0.62307670880708
"Liu_Melanoma"	"Melanoma"	0.481368427015449	0.65640642384179	"-0.8"	"1.838"	"0.460669242610947"	"0.737917359054934"	"0.354504612896869"	"0.048"	"1.442"	"0.0358589528757327"	0.430869393260768
"Riaz_Melanoma"	"Melanoma"	0.905708622543618	1.2170249308929	"-1.696"	"3.512"	"0.461994524826422"	"0.739447372492562"	"0.603922387463605"	"-0.422"	"1.983"	"0.213687015833725"	1.48114968241487
"Sade-Feldman_Melanoma"	"Melanoma"	0.777309837064392	1.21947789063735	"-1.592"	"3.565"	"0.52510485792092"	"1.8612344544023"	"1.12200697124535"	"-0.189"	"4.475"	"0.076606914245277"	1.48712632575332
"Snyder-2014_Melanoma"	"Melanoma"	-0.944786709190402	1.08457715487023	"-3.452"	"1.068"	"0.371629840217118"	"2.04274979295224"	"1.01928161406349"	"0.207"	"4.467"	"0.0279732931893915"	1.1763076048664
"Van Allen_Melanoma"	"Melanoma"	1.77150927473126	0.665614596105782	"0.442"	"3.11"	"0.0100271170190003"	"0.77820718143995"	"0.555809803456121"	"-0.285"	"1.933"	"0.153265459308319"	0.443042790549063
"Composite_RCC"	"RCC"	-1.76012116202894	1.45698010662428	"-6.624"	"0.324"	"0.114232669931286"	NA	NA	NA	NA	NA	2.1227910310989
