"Cohort"	"Tissue"	"Alteration_Estimate"	"Alteration_StdErr"	"Alteration_95CI.low"	"Alteration_95CI.hi"	"Alteration_Pval"	"TMB_Estimate"	"TMB_StdErr"	"TMB_95CI.low"	"TMB_95CI.hi"	"TMB_Pval"	"Alteration_Variance"
"Composite_Bladder"	"Bladder"	1.85835425803099	0.984232847550714	"0.037"	"4.203"	"0.0455888375982021"	NA	NA	NA	NA	NA	0.968714298197787
"Composite_Breast"	"Breast"	0.649344557901553	1.64789715278194	"-4.352"	"3.441"	"0.710046746832637"	NA	NA	NA	NA	NA	2.71556502614682
"Composite_CRC"	"CRC"	1.46633706878629	1.03610011895573	"-0.623"	"3.602"	"0.161582512600398"	NA	NA	NA	NA	NA	1.07350345650008
"Composite_Endometrial"	"Endometrial"	1.00586292972546	0.73502919217044	"-0.409"	"2.505"	"0.164746034305938"	NA	NA	NA	NA	NA	0.54026791334273
"Composite_Gastric"	"Gastric"	1.16017018166754	1.20765151216554	"-1.428"	"3.752"	"0.346399091904007"	NA	NA	NA	NA	NA	1.45842217483572
"Anagnostou-NC_Lung"	"Lung"	2.09457042327686	1.52481367156534	"-0.245"	"7.007"	"0.0852153187863841"	"0.676000134806675"	"0.451347173020635"	"-0.202"	"1.575"	"0.131579090084568"	2.32505673299257
"Composite_Lung"	"Lung"	0.67116827384117	1.08641145753761	"-1.791"	"2.791"	"0.54819545680098"	NA	NA	NA	NA	NA	1.18028985506899
"Frigola_Lung"	"Lung"	1.02958982453561	0.906656480479244	"-0.764"	"2.962"	"0.255377493196939"	"0.8840906841371"	"0.64652553130409"	"-0.36"	"2.208"	"0.16507842201631"	0.82202597359501
"Hellmann_Lung"	"Lung"	0.578768901693497	0.787331794230803	"-0.961"	"2.225"	"0.462405957394825"	"1.794591284523"	"0.586080737764601"	"0.693"	"3.024"	"0.00115610091948004"	0.619891354206695
"Jung_Lung"	"Lung"	-0.378834220336282	1.01842640187608	"-2.788"	"1.488"	"0.706448897148396"	"1.16803550234425"	"0.64336308237726"	"-0.054"	"2.527"	"0.0612791914703272"	1.03719233603826
"Rizvi-JCO_Lung"	"Lung"	-1.28729946911488	0.906477611598169	"-3.553"	"0.257"	"0.109156007568862"	"0.858856212292006"	"0.298140586348867"	"0.281"	"1.454"	"0.00346655895564341"	0.821701660328721
"Rizvi-Science_Lung"	"Lung"	0.242561637171312	1.15678860554385	"-2.013"	"2.805"	"0.832996996740722"	"2.09281327864572"	"0.857909845503167"	"0.518"	"3.973"	"0.00825595950616154"	1.33815987791609
"Shim_Lung"	"Lung"	0.0152837240156114	0.689882824608406	"-1.466"	"1.33"	"0.982371996988616"	"0.615402069570954"	"0.312470602408015"	"0.008"	"1.237"	"0.0471880282236221"	0.475938311689673
"Composite_Melanoma"	"Melanoma"	0.451985123743057	0.705738491707449	"-0.913"	"1.949"	"0.517134581060559"	NA	NA	NA	NA	NA	0.498066818677505
"Cristescu_Melanoma"	"Melanoma"	-0.510825623765991	1.07688900193131	"-2.962"	"1.588"	"0.630492608592883"	"0.546543706368049"	"0.434415729102463"	"-0.3"	"1.41"	"0.206247263737224"	1.15968992248061
"Gao_Melanoma"	"Melanoma"	0.151230969723921	1.15903337357938	"-2.417"	"2.384"	"0.896628813432483"	NA	NA	NA	NA	NA	1.3433583610708
"Hugo_Melanoma"	"Melanoma"	0.276643235525155	0.789352081651198	"-1.262"	"1.915"	"0.724948372074694"	"0.136121848204108"	"0.649547798233806"	"-1.15"	"1.424"	"0.834140787809685"	0.62307670880708
"Liu_Melanoma"	"Melanoma"	0.293780675722225	0.586569114915896	"-0.866"	"1.473"	"0.616319814778353"	"0.581140307356045"	"0.352495625184625"	"-0.106"	"1.28"	"0.0977104964075242"	0.344063326573218
"Riaz_Melanoma"	"Melanoma"	0.506108633887852	1.10764024707538	"-1.985"	"2.669"	"0.653767957169378"	"0.461167652719171"	"0.590875725867003"	"-0.693"	"1.655"	"0.43306031974317"	1.22686691694121
"Sade-Feldman_Melanoma"	"Melanoma"	0.777309837064392	1.21947789063735	"-1.592"	"3.565"	"0.52510485792092"	"1.8612344544023"	"1.12200697124535"	"-0.189"	"4.475"	"0.076606914245277"	1.48712632575332
"Snyder-2014_Melanoma"	"Melanoma"	-0.944786709190402	1.08457715487023	"-3.452"	"1.068"	"0.371629840217118"	"2.04274979295224"	"1.01928161406349"	"0.207"	"4.467"	"0.0279732931893915"	1.1763076048664
"Van Allen_Melanoma"	"Melanoma"	1.66575918592604	0.653219211155231	"0.355"	"2.973"	"0.0138813301444557"	"0.791499542060068"	"0.555965029586048"	"-0.27"	"1.95"	"0.145896224000633"	0.426695337822262
"Composite_RCC"	"RCC"	-0.852564110122613	0.878152446507295	"-3.085"	"0.606"	"0.282604151626022"	NA	NA	NA	NA	NA	0.771151719306748
